"X;Y;OBJECTID;advisorySpeed;areaUnitID;bicycle;bridge;bus;carStationWagon;cliffBank;crashDirectionDescription;crashFinancialYear;crashLocation1;crashLocation2;crashRoadSideRoad;crashSeverity;crashSHDescription;crashYear;debris;directionRoleDescription;ditch;fatalCount;fence;flatHill;guardRail;holiday;houseOrBuilding;intersection;kerb;light;meshblockId;minorInjuryCount;moped;motorcycle;NumberOfLanes;objectThrownOrDropped;otherObject;otherVehicleType;overBank;parkedVehicle;pedestrian;phoneBoxEtc;postOrPole;region;roadCharacter;roadLane;roadSurface;roadworks;schoolBus;seriousInjuryCount;slipOrFlood;speedLimit;strayAnimal;streetLight;suv;taxi;temporarySpeedLimit;tlaId;tlaName;trafficControl;trafficIsland;trafficSign;train;tree;truck;unknownVehicleType;urban;vanOrUtility;vehicle;waterRiver;weatherA;weatherB";;;;;;;;;;
"1765690;5901418;1;;524604;0;;0;1;;East;2010;BROWNS ROAD;ROSCOMMON ROAD;;Non-Injury Crash;No;2010;;East;;0;;Flat;;;;;;Overcast;781302;0;0;0;2;;;0;;;;;;Auckland Region;Nil;2-way;Sealed;;0;0;;50;;Off;0;0;;76;Auckland;Nil;;;;;0;0;Urban;1;;;Fine;Null";;;;;;;;;;
"1768108;5904089;2;;523820;0;0;0;1;0;South;2003;SH 1N;MANUKAU OFF SBD;;Non-Injury Crash;Yes;2002;0;South;0;0;0;Flat;1;;0;;0;Dark;759901;0;0;0;3;0;0;0;0;0;;0;0;Auckland Region;Nil;1-way;Sealed;0;0;0;0;100;0;On;0;0;;76;Auckland;Nil;0;0;0;1;0;0;Open;0;0;0;Heavy rain;Null";;;;;;;;;;
"1931180;5604952;3;;548000;0;0;0;1;0;East;2009;CAMBRIDGE ST;JERVOIS ST;;Minor Crash;No;2008;0;East;0;0;0;Flat;0;;0;;0;Twilight;1497700;1;0;0;2;0;0;0;0;1;;0;0;Hawke's Bay Region;Nil;2-way;Sealed;0;0;0;0;50;0;None;0;0;;30;Hastings District;Nil;0;0;0;0;0;0;Urban;1;0;0;Fine;Null";;;;;;;;;;
"1553973;5171102;4;;597512;0;;0;1;;Null;2014;SELWYN ROAD;WEEDONS ROAD;;Non-Injury Crash;No;2014;;North;;0;;Flat;;;;;;Bright sun;2719902;0;0;0;2;;;0;;;;;;Canterbury Region;Nil;2-way;Sealed;;0;0;;100;;Null;0;0;;62;Selwyn District;Stop;;;;;1;0;Open;0;;;Fine;Null";;;;;;;;;;
"1843276;5597186;5;;559220;0;;0;2;;Null;2006;SH 1N;UTIKU SOUTH ROAD;;Non-Injury Crash;Yes;2005;;South;;0;;Flat;;;;;;Bright sun;1746400;0;0;0;2;;;0;;;;;;Manawatu-Wanganui Region;Nil;2-way;Sealed;;0;0;;100;;Null;0;0;;38;Rangitikei District;Nil;;;;;0;0;Open;0;;;Fine;Null";;;;;;;;;;
"1748762;5428648;6;;573000;0;0;1;0;0;North;2009;LAMBTON QUAY;BALLANCE ST;;Non-Injury Crash;No;2008;0;North;0;0;0;Flat;0;;0;;0;Overcast;2124200;0;0;0;4;0;0;0;0;1;;0;0;Wellington Region;Nil;2-way;Sealed;0;0;0;0;50;0;Null;0;0;;47;Wellington City;Give way;0;0;0;0;0;0;Urban;1;0;0;Light rain;Null";;;;;;;;;;
"1789525;5754897;7;;532000;0;;0;2;;Null;2005;NGARONGO ST;ESPLANADE;;Non-Injury Crash;No;2005;;North;;0;;Flat;;;;;;Twilight;1005800;0;0;0;2;;;0;;;;;;Waikato Region;Nil;2-way;Sealed;;0;0;;50;;On;0;0;;20;Waitomo District;Give way;;;;;0;0;Urban;0;;;Heavy rain;Null";;;;;;;;;;
"1757597;5926275;8;;507900;0;;0;1;;East;2015;ESMONDE ROAD;BARRYS POINT ROAD;;Minor Crash;No;2014;;West;;0;;Flat;;;;;;Bright sun;304200;1;0;0;6;;;0;;;;;;Auckland Region;Nil;2-way;Sealed;;0;0;;60;;Null;1;0;;76;Auckland;Unknown;;;;;0;0;Urban;0;;;Fine;Null";;;;;;;;;;
"1407309;4924074;9;;601603;0;0;0;1;0;North;2007;SH 1S;WATERMANS COTTAGE OBR;;Non-Injury Crash;Yes;2007;0;South;1;0;0;Hill Road;0;;0;;0;Dark;2863400;0;0;0;2;0;0;0;0;0;;0;0;Otago Region;Nil;2-way;Sealed;0;0;0;0;100;0;None;0;0;;71;Dunedin City;Unknown;0;0;0;0;0;0;Open;0;0;0;Mist or Fog;Null";;;;;;;;;;"1759428;5908632;459554;;524002;0;;0;1;;Null;2004;MCKENZIE ROAD;MILLER ROAD;;Non-Injury Crash;No;2004;;East;;0;;Flat;;;;;;Twilight;724700;0;0;0;2;;;0;;;;;;Auckland Region;Nil;2-way;Sealed;;0;0;;50;;On;0;0;;76;Auckland;Traffic Signals;;;;;0;0;Urban;1;;;Fine;Null"
